round,train_loss,test_loss,train_accuracy,test_accuracy
1,5.125731508667359,5.114824645126922,1.308139534883721,1.3
2,3.239884855501658,3.6897829303258582,22.65826873385013,17.74
3,2.2710387998887285,2.9720373757277865,47.036498708010335,27.98
4,2.004296495413533,2.8773179446594623,55.95728359173127,30.28
5,1.8325056203609225,2.824307097664362,60.73764534883721,31.93
6,1.657456008332072,2.775733060474637,65.45744509043928,32.42
7,1.5413453899983187,2.7457236640061002,68.3624031007752,33.2
8,1.4810152124726583,2.763075556936143,68.56831395348837,32.74
9,1.282345274279427,2.683930502662176,74.38024870801033,34.07
10,1.1983479159305692,2.667596204371392,76.18095930232558,34.32
11,1.135456674183938,2.6636531051201158,77.61426033591732,34.57
12,1.136919088018574,2.6712023125419133,77.18225129198967,34.45
13,1.0812750022130537,2.657976793337472,78.89413759689923,34.7
14,1.0747096640669835,2.6556846703155133,78.91432493540051,34.57
15,1.1840922052568321,2.719237804412842,75.41384043927648,33.57
16,0.973525960012789,2.6246013339561753,81.57097868217055,35.48
17,0.9490077706553073,2.6139802238609215,82.35424741602067,35.94
18,0.9524180128353488,2.6021405111385296,83.38985788113695,36.13
19,0.9315470696215004,2.6004043198839017,83.96115956072352,36.24
20,0.9604491202441288,2.6176384461076956,83.13549741602067,35.8
21,0.9122120449031982,2.6006395846982544,85.14010012919897,36.5
22,0.8635642920399407,2.5988750729379775,86.18984173126614,36.54
23,0.8821716437606077,2.599330597285983,86.11111111111111,36.37
24,0.813745599859385,2.5986137601393686,87.20324612403101,36.54
25,0.7948194263338741,2.5981664023821867,87.42126937984496,36.55
26,0.7286171301042763,2.601961123792431,88.22270671834626,36.81
27,0.7019809265019401,2.604698027236552,88.63856589147287,36.64
28,0.6729196467243719,2.607001033010362,89.10691214470285,37.06
29,0.6256659599397506,2.6063245912141437,89.85788113695091,36.92
30,0.5702067658524237,2.6075525283813477,90.84302325581395,36.84
31,0.5721066199450389,2.6159800185432918,90.57049418604652,36.87
32,0.5483249235215261,2.6255305960208557,91.09132751937985,36.81
33,0.5466923117386735,2.6178079496456097,91.40625,36.82
34,0.5181193971186426,2.600326393224016,92.21576227390182,37.36
35,0.507962322575826,2.600343990929519,92.24200581395348,37.14
36,0.519011895839486,2.612132525142235,91.78173449612403,36.85
37,0.4951276217214112,2.6048085417928575,92.26623062015504,37.43
38,0.49195396167434896,2.6055615280247943,92.40754198966408,37.51
39,0.48807222655087157,2.6082389716860614,92.54683462532299,37.61
40,0.49137004370273524,2.6185770276226576,92.48829134366925,37.45
41,0.5010879749395871,2.6265339851379395,92.30256782945736,37.47
42,0.4729313161302571,2.624287593213818,93.06363049095607,37.75
43,0.4487066392548852,2.61800083329406,93.54207041343669,37.88
44,0.4189719008577878,2.6330993718738798,94.13154069767442,37.78
45,0.3785783688621082,2.626936864249314,94.8138727390181,38.1
46,0.3472034476686766,2.6405468319035785,95.23175064599482,38.14
47,0.3262012990122357,2.633893384209162,95.5406169250646,38.27
48,0.2913281605970746,2.647754759728154,96.12604974160207,38.43
49,0.26132240968260945,2.65643312357649,96.61054586563309,38.7
50,0.23875025702478725,2.689761792557149,96.87701873385012,38.56
