round,train_loss,test_loss,train_accuracy,test_accuracy
1,3.597321194461512,3.509225096883653,10.017673521850899,10.0
2,3.4144654365792824,3.2718600291240065,14.281410668380461,14.6
3,1.8762579959416825,1.8507812309868727,37.592384318766065,36.15
4,1.2320545922878867,1.284610061705867,57.02120822622108,54.62
5,1.159169862465705,1.2797593617741065,61.080093187660665,56.76
6,0.9713022197743779,1.1641028161290325,66.27369858611826,60.41
7,0.8844143320605757,1.159607470035553,69.27217223650386,61.95
8,0.8377222884791136,1.2060187934320183,71.48939588688947,62.2
9,0.7984953962959863,1.212297023097171,73.20854755784062,62.92
10,0.724575300440332,1.2187102678455883,75.6165649100257,63.14
11,0.7640039202496375,1.2869370504270625,75.39363753213367,62.97
12,0.6738171888069202,1.2879836883726,78.08081619537275,64.0
13,0.6347548085068001,1.2784113831157926,78.80784061696659,64.06
14,0.5656891480558053,1.2387910175927077,81.41267673521851,65.69
15,0.5537630672094908,1.302661293669592,82.52932197943444,65.59
16,0.5090290465436222,1.2730820993833905,83.15592866323908,65.34
17,0.5281816746157031,1.3302226421199268,83.66404241645245,65.63
18,0.5429618317769386,1.3898432398144203,83.6198586118252,65.23
19,0.5100592249227093,1.387174981304362,84.94336439588689,65.93
20,0.4459675492669414,1.345823282682443,86.467705655527,66.17
21,0.4754011159077895,1.4072779982904844,85.71858933161953,65.74
22,0.4676555902019821,1.4382096310205097,86.04996786632391,66.11
23,0.4397466344771108,1.3580846839313265,86.95573586118252,66.69
24,0.4139130312992417,1.3662152924115145,87.76108611825192,66.65
25,0.4052415267922915,1.3672053987466837,87.91171272493573,66.81
26,0.3843127277292077,1.39625182181974,88.68091259640103,67.22
27,0.3843683102396961,1.4116119576405874,88.68492930591259,66.49
28,0.36785147930273127,1.3486280999606168,89.32559447300771,67.79
29,0.3505597812195263,1.3856053729600544,89.4782294344473,67.31
30,0.3814202986096649,1.429918114897571,88.90183161953728,67.55
31,0.40604845360932773,1.4117528622663473,88.20292416452442,66.49
32,0.3925026420133122,1.3772319170493115,88.22501606683805,66.68
33,0.35801753185892415,1.3665582507471494,89.49228791773778,66.73
34,0.3444904985433359,1.426752282094352,90.18918701799485,67.84
35,0.3728138201772183,1.4276865162426913,89.15890102827764,67.47
36,0.36057160018162293,1.3886506723452219,89.60877249357327,67.26
37,0.31370791990632785,1.379461887516553,90.78566838046272,68.18
38,0.32788707813112794,1.3681623694262928,90.2835796915167,68.14
39,0.32729795321740995,1.3651344587531271,90.02450192802056,67.36
40,0.31944488588487874,1.386324340784097,90.15705334190231,67.4
41,0.2962538694306908,1.3873364253889156,91.29378213367609,67.39
42,0.30967192137370414,1.4245388507843018,90.75353470437018,67.81
43,0.35186651308631134,1.438302707823017,89.79554948586119,67.61
44,0.3052648814775163,1.3709734255754495,91.26365681233933,67.97
45,0.284723322720177,1.3555023790914802,91.49662596401028,67.76
46,0.3408786142567708,1.3864146825633472,90.5486825192802,67.91
47,0.34034411783463303,1.4316384505621995,90.00241002570694,67.55
48,0.29529759408445055,1.328544561621509,91.33997429305913,68.2
49,0.3267638366975721,1.4149950380566754,90.57278277634961,67.55
50,0.3133171463212802,1.37254528833341,91.07085475578405,68.12
51,0.2784844236944798,1.3302646384963506,91.86616323907455,68.5
52,0.2991060673561486,1.3971056915536713,90.9021529562982,67.93
53,0.3093626237395696,1.4375505454932587,90.72340938303341,67.2
