round,train_loss,test_loss,train_accuracy,test_accuracy
1,4.752566325276509,4.743035793304443,1.0719476744186047,1.0
2,3.659317098026065,3.80408727368222,19.80983527131783,16.38
3,3.211615034873671,3.6072038246106497,33.16174095607235,22.2
4,2.9523482078291297,3.5530958296377446,44.35158268733851,25.41
5,2.775067215545154,3.5208448126346252,51.01744186046512,26.61
6,2.689597065262635,3.5254021143611474,55.58583656330749,26.98
7,2.686064493496083,3.5354108206833463,57.53189599483204,27.37
8,2.5286027419263766,3.48999611033669,62.174983850129195,28.23
9,2.5033341076342976,3.4913061872313293,63.775839793281655,28.1
10,2.462169330380994,3.479417284832725,65.66537467700259,28.55
11,2.423081269063486,3.4618010249318956,66.60812338501292,28.75
12,2.3987221531506187,3.462419081337844,67.78100775193798,29.27
13,2.366851312496501,3.45738115793542,69.0548288113695,29.45
14,2.361273812224202,3.464232743540897,69.0891472868217,29.09
15,2.26225213395218,3.444401701794395,72.39179586563309,29.72
16,2.283185600279947,3.439982755274712,71.52979651162791,29.64
17,2.2356417488834692,3.4252193124988413,72.2000161498708,30.19
18,2.196298271486815,3.4228110554852065,74.40245478036177,30.52
19,2.2060546159370693,3.4291624479655978,74.11983204134367,30.12
20,2.176358762573748,3.422649383544922,74.93338178294574,30.21
21,2.138739880023927,3.4147165244138695,76.13654715762273,30.35
22,2.122963457458636,3.4063673260845717,76.24555878552972,30.26
23,2.1577947872592866,3.420105846622322,75.51073966408268,30.06
24,2.043561436312838,3.382692536221275,78.37936046511628,31.28
25,2.0567271433203347,3.390776471246647,78.31274224806202,31.09
26,2.0104108826234666,3.3801622330387935,79.45534560723515,31.16
27,2.025838159670906,3.384335584278348,79.19694767441861,31.06
28,2.0345026471972334,3.3929407868204238,79.20098514211887,30.93
29,1.9923500921189095,3.3767826074286353,80.58179909560724,31.39
30,1.9914843148911978,3.3806259541571895,80.71301679586563,31.45
31,1.9956582961086577,3.385305609884141,80.83010335917312,31.51
32,1.8997709934712819,3.3555853698827045,82.71156330749353,31.7
33,1.9493750637785774,3.3741296756116648,81.35497416020672,31.5
34,1.8914823558381975,3.3531865500196627,83.44032622739019,32.07
35,1.9142706804348077,3.3646355701398245,82.65503875968993,31.67
36,1.9050041111532194,3.3635232901271386,83.30708979328165,31.91
37,1.9144915864385958,3.3709889031663725,82.9437177002584,31.62
38,1.8751329550771652,3.3557342034351976,84.22359496124031,32.1
39,1.8709131988950645,3.357154975963544,84.24983850129199,32.26
40,1.8306036743206342,3.345131342924094,85.24911175710595,32.53
41,1.8328301410677157,3.3493329060228567,85.0250322997416,32.1
42,1.78809268583658,3.337104133412808,86.27059108527132,32.83
43,1.7563958526870855,3.3330692701701876,86.52898901808786,32.76
44,1.7364608968367943,3.3287513316432134,87.26178940568475,32.77
45,1.7074228115433356,3.322149810911734,87.92393410852713,32.93
46,1.6504874475234594,3.310228921190093,88.70316537467701,33.03
47,1.64389378499613,3.310304192048085,88.69912790697676,32.96
48,1.5496494261178735,3.286377680452564,89.86797480620154,32.95
49,1.4843238548664677,3.272311609002608,90.34035852713178,33.06
50,1.3756759342825007,3.2485974257505394,91.69089147286822,33.43
