round,train_loss,test_loss,train_accuracy,test_accuracy
1,4.940032861737178,4.939907418021673,1.0832796391752577,1.09
2,2.809829187802253,3.253705136383636,39.9585212628866,27.96
3,1.5656406444346922,2.7569394051274165,68.33722615979381,33.95
4,1.1314346805034445,2.6470327467858037,82.28092783505154,36.08
5,0.8831153373663145,2.581027136573309,88.45441365979381,37.48
6,0.7214198349882065,2.5425342366665222,91.24315399484536,38.1
7,0.5813406192805259,2.504084406019766,93.70771585051546,39.12
8,0.4740174438519381,2.494517468198945,94.9742268041237,39.38
9,0.411564533512807,2.4961609991290903,95.6970844072165,39.34
10,0.34728984755189984,2.483383263213725,96.2830219072165,39.81
11,0.30297504990780094,2.478187313562707,96.76224226804123,39.76
12,0.2579158995297567,2.4580197273930415,97.25757087628865,40.2
13,0.2503927500117587,2.448860741868804,97.4548969072165,40.49
14,0.24754889599693536,2.4679255425175533,97.46496456185567,39.91
15,0.23165100926122567,2.4494898802117455,97.68041237113401,40.57
16,0.23424444283905968,2.4572044958042194,97.63208762886599,40.06
17,0.23528452678143585,2.447616999662375,97.80927835051546,40.49
18,0.23935538056066416,2.4464072124867497,98.01063144329896,40.3
19,0.23972620617392693,2.4408924670159062,98.11936211340206,40.62
20,0.22687742808918757,2.446178505692301,98.39118878865979,40.61
21,0.21932958553994397,2.452527139760271,98.31467461340206,40.54
22,0.20639708295103193,2.4443883503539654,98.56837951030928,40.81
23,0.19440042860275306,2.445172620725028,98.73751610824742,40.49
24,0.1845599268370889,2.4473453443261644,98.76771907216495,40.74
25,0.16837009263152214,2.4621228900136827,98.80194909793815,40.57
26,0.1531505491779122,2.451536679569679,98.96303157216495,40.54
27,0.14073864151697224,2.464177729208258,98.94490979381443,40.68
28,0.12368196842585269,2.466434982758534,99.0637081185567,40.83
29,0.10910450463680266,2.4670384292361103,99.11203286082474,40.76
30,0.09812847840420966,2.473422062547901,99.21069587628865,40.61
31,0.093627815250435,2.4795433297941956,99.28116945876289,40.81
32,0.0855632651633909,2.4811941309820247,99.34157538659794,40.48
