round,train_loss,test_loss,train_accuracy,test_accuracy
1,3.414088502624452,3.3844346879403804,14.2578125,14.77
2,1.902551073605411,1.9630319513852084,41.52303479381443,39.5
3,3.9918614753509845,3.7753679209117648,17.89626288659794,17.54
4,3.0453846693755926,3.060370167599449,32.1923324742268,29.74
5,0.6431912946166983,1.3909982518304753,79.2626449742268,63.19
6,0.632464069102018,1.4464385788651961,81.84399162371135,63.71
7,0.4744897901900938,1.4586052426808997,86.22140786082474,66.9
8,0.4705224093250444,1.483828595921963,87.04292847938144,67.0
9,0.4509813483327968,1.5848457194581818,87.76779961340206,66.51
10,0.45866581352372576,1.613516296012492,87.9832474226804,67.04
11,0.36545285107202863,1.6091859136955649,89.77327641752578,68.17
12,0.3965583071165747,1.6006069334247444,89.58199097938144,67.89
13,0.3520171341757964,1.6430422731592684,90.40955219072166,67.48
14,0.3775183000152248,1.6836494524267656,89.36855670103093,66.49
15,0.28678842641900365,1.651303889630716,91.73042847938144,68.1
16,0.30699351537442643,1.6178487644919866,91.81096971649485,68.27
17,0.2949296177409028,1.7141481215440775,91.5089400773196,68.16
18,0.30705608281793445,1.6509479057939747,91.41631765463917,68.2
19,0.30823084892127145,1.6938395786888991,91.6539143041237,67.98
20,0.2825899162917237,1.683053567439695,92.12910760309279,68.32
21,0.24218175966580877,1.6292184146144721,93.47817332474226,69.32
22,0.24959391063701433,1.662900528198556,92.81169458762886,68.57
23,0.25490767346872245,1.705016155031663,92.9284793814433,68.74
24,0.2623087030779298,1.7146276416657846,92.94056056701031,68.57
25,0.2627030491427466,1.7299470592148696,93.1821842783505,68.64
26,0.2744450456448705,1.7581712762011756,92.97277706185567,68.41
27,0.27452599782297804,1.7834048422077033,92.80565399484536,68.39
28,0.24292298249584038,1.770279728913609,93.17211662371135,68.45
29,0.2918297355771346,1.7910720064670225,92.8257893041237,68.33
30,0.25710033061961174,1.7597082181821895,93.82047358247422,69.05
31,0.2531340062707058,1.7692070150677162,93.49226804123711,68.89
32,0.23282258339827355,1.760373748555968,94.1003543814433,69.31
33,0.22442114652646233,1.74902997137625,94.25740979381443,69.62
34,0.24206839489437412,1.7779555373553988,93.98155605670104,69.26
35,0.2810347312484876,1.8208589485928983,93.3533344072165,68.7
36,0.24910367209057038,1.8042217855212055,93.77214884020619,68.98
37,0.2440823375593834,1.8162131332143951,93.94128543814433,69.05
38,0.26746506686727384,1.8394423383700698,93.6815399484536,68.93
39,0.2375755589937906,1.7977120740504204,94.2674774484536,69.09
40,0.2529405513870969,1.8270249857178218,93.87886597938144,68.69
41,0.22922365101447353,1.8189432824714273,94.23526095360825,69.19
42,0.22362637874385527,1.8483761752708048,94.16478737113401,68.81
43,0.2221799261196728,1.8287643050845666,94.37822164948454,68.99
44,0.2507351334926716,1.8728308013722867,94.04397551546391,68.81
45,0.21467763963517186,1.8372367371486713,94.58561533505154,69.56
46,0.23016050295715912,1.8242652446408816,94.22922036082474,68.75
47,0.2192207886870987,1.813344483888602,94.56749355670104,69.35
48,0.20149504240488753,1.8081685840329038,94.87959085051546,69.47
49,0.23066184830684855,1.8251055494139465,94.5131282216495,69.37
50,0.22789220467407634,1.8279728482041178,94.48896585051546,69.29
