round,train_loss,test_loss,train_accuracy,test_accuracy
1,5.125731508667359,5.114824645126922,1.308139534883721,1.3
2,3.239884855501658,3.6897829303258582,22.65826873385013,17.74
3,1.8859346235818353,3.4575648307800293,49.588178294573645,26.05
4,1.8216999562521194,3.827587562271311,53.37532299741602,25.6
5,1.5188084101344264,3.962070917781395,60.915293927648584,26.73
6,1.2786724777002738,3.9505272515212435,66.33761304909561,28.57
7,1.2622677226559391,4.061552669428572,67.36514857881137,28.14
8,1.1489381251333421,4.1043050470231455,69.96729651162791,28.97
9,0.997976565589689,4.0682286884211285,73.88364018087856,30.4
10,0.894333350332734,4.081083810782131,76.34447674418605,30.27
11,0.9184348711296833,4.175414667853826,75.65205103359173,30.06
12,0.9100994696428696,4.190626832503307,76.32630813953489,29.56
13,0.7254062829905468,4.15541505511803,80.47076873385012,31.07
14,0.7081866800254948,4.141761357271219,81.34891795865633,30.61
15,0.600510030342781,4.21109903915019,83.74515503875969,31.45
16,0.6548437967529359,4.164271415034427,82.82663113695091,31.43
17,0.6097501383200595,4.2120806356019616,83.84003552971576,31.36
18,0.5508309435568621,4.178077546856072,85.33793604651163,32.11
19,0.525893987096351,4.186723168892197,86.30894702842377,31.79
20,0.4771860329951535,4.234325949149795,87.23150839793283,31.87
21,0.47630440690873466,4.161426661889764,87.57267441860465,32.09
22,0.4569074679785904,4.219201244885409,87.6170865633075,32.45
23,0.4476599871582009,4.1838925518567045,88.26106266149871,32.52
24,0.4122233864729277,4.155594379087038,89.10287467700259,32.85
25,0.3864917405146914,4.140688790550715,89.89018087855297,33.15
26,0.32792009811678013,4.169298404379736,91.18418927648578,33.15
27,0.3447870925095689,4.150125231923936,90.78851744186046,33.05
28,0.33019873872709116,4.119495476348491,91.24475129198967,33.21
29,0.27107931704731525,4.142759480053866,92.64171511627907,33.52
30,0.27928468066708867,4.184732367720785,92.33486757105943,32.98
31,0.24015164392680627,4.158957632282112,93.54408914728683,33.4
32,0.24921600745051417,4.176026461999627,93.48352713178295,33.42
33,0.23702069618274607,4.1545995338053645,93.77826227390182,33.55
34,0.2136288034998463,4.134619851655598,94.44444444444444,33.82
35,0.20541603252265336,4.118592464471165,94.64026162790698,33.75
36,0.19395197208506929,4.116287122798871,94.91480943152455,33.66
37,0.17936299853185522,4.133104556723486,95.41949289405684,33.82
38,0.17952518783309265,4.125381219236156,95.35691214470285,33.9
39,0.15539082310145197,4.080935789059989,96.00896317829456,34.0
40,0.14630977218033886,4.131718704972086,96.2936046511628,34.13
41,0.1464046114059438,4.119562538364265,96.39656007751938,34.4
42,0.13257334408807253,4.136232219164884,96.66707041343669,34.33
43,0.13420977645073542,4.151716772514053,96.66303294573643,34.01
44,0.1204329173664365,4.152317922326583,97.0062177002584,34.25
45,0.11152005771999637,4.140622123887267,97.31912144702842,34.16
46,0.10118690268177469,4.156173552138896,97.51695736434108,34.06
47,0.10877585408291249,4.162528409233576,97.28076550387597,34.0
48,0.09163948573545626,4.229742309715174,97.82380490956072,34.13
49,0.08925158992882233,4.263932167729245,97.88032945736434,34.2
50,0.08242842463189286,4.25984624367726,98.1124838501292,34.28
